"1441 Pizzeria","022 33951501","19/20, Samartha Vaibhav, Below Sykz Gym, Andheri Lokhandwala, Andheri West","Pizza, Salad","Average ₹1,100 for two people (approx.)","Today  11 AM to 11 PM"
"1441 Pizzeria","022 33126017","Ground Floor, 5,  58/64,  Hari Chambers, S B Road, Fort, Mumbai","Pizza, Salad","Average ₹1,100 for two people (approx.)","Today  11 AM to 11 PM"
"Doolally Taproom","+91 9967102143","C18-21, Dalia Industrial Estate,Near Fun Republic, Off New Link Road, Veera Desai Area, Mumbai","Finger Food, North Indian","Average ₹1,800 for two people (approx.) with alcohol","Today  7 AM to 1 AM"
"Burma  Burma","022 61054592","Kothari House, Allana Centre Lane, MG Road, Behind Mumbai University, Fort, Mumbai","Asian, Burmese","Average ₹1,500 for two people (approx.)","Today  12 Noon to 2:45 PM, 7 PM to 11 PM"
"Bombay to Barcelona Library Café","+91 9820212029","3 & 4, Golden Nest Cooperation Housing Society, Mapkhan Nagar, Marol Naka, Mumbai","Cafe, Fast Food, Spanish","Average ₹300 for two people (approx.) ","Today  10 AM to 10 PM"
"Bombay Salad Co.","022 26000270","Shop 1,16th Road, Linking Road, Bandra West","Healthy Food, Beverages","Average ₹900 for two people (approx.)","Today  12 Noon to 10:30 PM"
"Gallops","022 30151130","Mahalaxmi Race Course, Mahalaxmi, Mumbai","North Indian, Continental, Seafood","Average ₹2,500 for two people (approx.) ","Today  12 Noon to 12 Midnight"
"Stacks And Racks","+91 9699006650,  +91 8767676866","Shop 1, Ganga Nivas, Opposite Toyota Showroom, Link Road, Malad West, Mumbai","American, Burger, Fast Food","Average ₹500 for two people (approx.)","Today  12 Noon to 12 Midnight"
"Joey's Pizza","022 33951619","Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace, Malad West, Mumbai","Pizza","Average ₹800 for two people (approx.)","Today  11 AM to 12:30 AM"
"Merwans Cake Stop","022 26248157,  022 26244896","12/13, Madhav Nagar, SV Road, Near Andheri West Station, Mumbai","Bakery, Fast Food, Desserts","Average ₹200 for two people (approx.)","Today  10 AM to 10:30 PM"
"Hearsch Bakery","022 26435361","90/A, Next to Holy Family Hospital, Hill Road, Bandra West, Mumbai","Bakery, Desserts, Fast Food","Average ₹400 for two people (approx.)","Today  7:30 AM to 10:30 PM"
"The Sassy Spoon","022 61054554","Ground Floor, Express Towers, Ramnath Goenka Marg, Nariman Point, Mumbai","European, Mediterranean, Asian, Modern Indian, Finger Food, Desserts","Average ₹2,100 for two people (approx.) with alcohol ","Today  12 Noon to 3:30 PM, 7 PM to 12 Midnight"
"Sammy Sosa","022 30151688","Shop 18, Meera CHS, Near Mega Mall, Oshiwara Link Road, Oshiwara, Andheri West","Mexican, Italian, Continental, Salad, Healthy Food","Average ₹1,700 for two people (approx.) with alcohol ","Today  12 Noon to 12 Midnight"
